date, IPclient, PORTclient, IPserver, PORTserver, nproccess, interval, transferred_bytes, bits/s
20201111223338,10.0.0.0,60910,10.0.0.8,5201,3,10.0-11.0,1470,11760
20201111223338,10.0.0.4,56640,10.0.0.8,5201,3,10.0-11.0,1470,11760
20201111223338,10.0.0.5,50106,10.0.0.9,5201,3,10.0-11.0,1470,11760
20201111223338,10.0.0.0,60345,10.0.0.10,5201,3,10.0-11.0,1470,11760
20201111223338,10.0.0.6,56149,10.0.0.9,5201,3,10.0-11.0,1470,11760
20201111223338,10.0.0.2,33133,10.0.0.9,5201,3,10.0-11.0,1470,11760
20201111223338,10.0.0.10,43167,10.0.0.9,5201,3,10.0-11.0,1470,11760
20201111223338,10.0.0.8,39041,10.0.0.9,5201,3,10.0-11.0,1470,11760
20201111223338,10.0.0.4,55844,10.0.0.9,5201,3,10.0-11.0,1470,11760
20201111223338,10.0.0.7,42712,10.0.0.9,5201,3,10.0-11.0,1470,11760
20201111223338,10.0.0.8,38138,10.0.0.10,5201,3,10.0-11.0,1470,11760
20201111223338,10.0.0.11,55921,10.0.0.9,5201,3,10.0-11.0,1470,11760
20201111223338,10.0.0.5,46948,10.0.0.10,5201,3,10.0-11.0,1470,11760
20201111223338,10.0.0.4,46292,10.0.0.10,5201,3,10.0-11.0,1470,11760
20201111223338,10.0.0.6,35329,10.0.0.10,5201,3,10.0-11.0,1470,11760
20201111223338,10.0.0.9,60398,10.0.0.10,5201,3,10.0-11.0,1470,11760
20201111223338,10.0.0.2,45642,10.0.0.10,5201,3,10.0-11.0,1470,11760
20201111223338,10.0.0.7,36037,10.0.0.10,5201,3,10.0-11.0,1470,11760
20201111223338,10.0.0.1,38749,10.0.0.10,5201,3,10.0-11.0,1470,11760
20201111223338,10.0.0.3,55362,10.0.0.10,5201,3,10.0-11.0,1470,11760
20201111223338,10.0.0.2,43134,10.0.0.11,5201,3,10.0-11.0,1470,11760
20201111223338,10.0.0.5,39809,10.0.0.11,5201,3,10.0-11.0,1470,11760
